WorkerID,Type,Agent,Grammar,Stimulus,StimulusNum,Harm,Other Harm,Harmer,Other Harmer,Blame,responsible,other,police stop,conservative,police trust,police honest,police listen,police rights,political party,age,race,gender
17,Control,Control,Agentive,Nurse assaults Chicago superintendent after car accident,0,Superintendent,,Nurse,,0,0,,,,,,,,,,,
17,Control,Control,Non-Agentive,Neighbor stabbed 17 times during road rage incident with young mom; community members express devastation,1,Neighbor,,Mom,,0,0,,,,,,,,,,,
17,Target,teacher,Non-Agentive,Criminal probe focuses on school where cop was shot after fight with teacher,2,Cop,,Teacher,,4,4,,,,,,,,,,,
17,Target,security guard,Agentive,Campus security guard shoots and kills student in controversial incident,3,Student,,Security guard,,2,2,,,,,,,,,,,
17,Control,Control,Agentive,Cheating husband stabbed wife 36 times after fight,4,Wife,,Husband,,0,0,,,,,,,,,,,
17,Target,state trooper,Agentive,State trooper kills club bouncer during shootout outside popular bar,5,Club bouncer,,State trooper,,2,2,,,,,,,,,,,
17,Control,Control,Non-Agentive,Restaurant owner of Italian pizza shop set on fire after shouting match with waiter,6,Owner,,Waiter,,4,4,,,,,,,,,,,
17,Control,Control,Agentive,Patient beats local doctor accused of fertility fraud during confrontation,7,Doctor,,Patient,,1,1,,,,,,,,,,,
17,Target,police officer,Non-Agentive,Jacksonville man fatally shot during confrontation with police officer,8,Man,,Police officer,,1,1,,,,,,,,,,,
17,Target,protesters,Non-Agentive,Officers shot during clash with protesters outside Texas church service,9,Officers,,Protesters,,2,2,,,,,,,,,,,
17,Target,teen,Agentive,Video footage shows teen shooting a county sheriff after confrontation; sparks outrage,10,Sheriff,,Teen,,3,3,,,,,,,,,,,
17,Control,Control,Non-Agentive,Drunk driver beaten after Cobb County crash with father,11,Driver,,Father,,2,2,,,,,,,,,,,
17,Target,police chief,Non-Agentive,Fisherman killed in New Years Day shooting incident with police chief,12,Fisherman,,Police chief,,2,2,,,,,,,,,,,
17,Target,protesters,Agentive,Protesters shoot cops during Friday confrontation; dash cam footage to be released early next week,13,Cops,,Protesters,,2,2,,,,,,,,,,,
17,Control,Control,Agentive,Teacher chokes nurse after violent dispute at local daycare,14,Nurse,,Teacher,,4,4,,,,,,,,,,,
17,Control,Control,Non-Agentive,Indigenous community leader targeted in racist hate crime incident with vandal,15,Community leader,,Vandal,,0,0,,2,4,Yes,Yes,No,No,Independent,55-64,White,Man
143,Target,protesters,Non-Agentive,Officers shot during clash with protesters outside Texas church service,9,Officers,,Protesters,,2,2,,,,,,,,,,,
143,Control,Control,Agentive,Patient beats local doctor accused of fertility fraud during confrontation,7,Doctor,,Patient,,2,2,,,,,,,,,,,
143,Control,Control,Agentive,Cheating husband stabbed wife 36 times after fight,4,Wife,,Husband,,2,2,,,,,,,,,,,
143,Target,teacher,Agentive,Criminal probe focuses on school where teacher shot cop after fight,16,Cop,,Teacher,,2,2,,,,,,,,,,,
143,Target,sheriff,Agentive,Video footage shows county sheriff shooting teen after confrontation; sparks outrage,17,Teen,,Sheriff,,1,1,,,,,,,,,,,
143,Target,man,Non-Agentive,Jacksonville police officer fatally shot during confrontation with man,18,Police officer,,Man,,2,2,,,,,,,,,,,
143,Target,cops,Non-Agentive,Protesters shot during Friday confrontation with cops; dash cam footage to be released early next week,19,Protesters,,Cops,,2,2,,,,,,,,,,,
143,Control,Control,Non-Agentive,Nurse choked after violent dispute with teacher at local daycare,20,Nurse,,Teacher,,2,2,,,,,,,,,,,
143,Target,state trooper,Non-Agentive,Club bouncer killed during shootout with state trooper outside of popular bar,21,Club bouncer,,State trooper,,2,2,,,,,,,,,,,
143,Control,Control,Non-Agentive,Neighbor stabbed 17 times during road rage incident with young mom; community members express devastation,1,Neighbor,,Mom,,2,2,,,,,,,,,,,
143,Target,man,Agentive,Fisherman kills police chief in New Years Day shooting incident,22,Police chief,,Fisherman,,2,2,,,,,,,,,,,
143,Control,Control,Agentive,Racist vandal targets Indigenous community leader in hate crime incident,23,Community leader,,Vandal,,0,0,,,,,,,,,,,
143,Control,Control,Non-Agentive,Drunk driver beaten after Cobb County crash with father,11,Driver,,Father,,2,2,,,,,,,,,,,
143,Target,security guard,Agentive,Campus security guard shoots and kills student in controversial incident,3,Student,,Security guard,,1,1,,,,,,,,,,,
143,Control,Control,Agentive,Waiter at Italian pizza shop sets restaurant owner on fire after shouting match,24,Owner,,Waiter,,2,2,,,,,,,,,,,
143,Control,Control,Non-Agentive,Chicago superintendent assaulted after car accident with nurse,25,Superintendent,,Nurse,,1,1,,3,2,No,Yes,No,No,Independent,35-44,White,Man
121,Control,Control,Non-Agentive,Drunk driver beaten after Cobb County crash with father,11,Driver,,Father,,2,2,,,,,,,,,,,
121,Target,man,Agentive,Fisherman kills police chief in New Years Day shooting incident,22,Police chief,,Fisherman,,4,4,,,,,,,,,,,
121,Control,Control,Agentive,Racist vandal targets Indigenous community leader in hate crime incident,23,Community leader,,Vandal,,0,0,,,,,,,,,,,
121,Target,police officer,Agentive,Jacksonville police officer fatally shoots man during confrontation,26,Man,,Police officer,,3,3,,,,,,,,,,,
121,Control,Control,Non-Agentive,Neighbor stabbed 17 times during road rage incident with young mom; community members express devastation,1,Neighbor,,Mom,,0,0,,,,,,,,,,,
121,Target,teacher,Non-Agentive,Criminal probe focuses on school where cop was shot after fight with teacher,2,Cop,,Teacher,,4,4,,,,,,,,,,,
121,Control,Control,Agentive,Cheating husband stabbed wife 36 times after fight,4,Wife,,Husband,,0,0,,,,,,,,,,,
121,Control,Control,Non-Agentive,Chicago superintendent assaulted after car accident with nurse,25,Superintendent,,Nurse,,0,0,,,,,,,,,,,
121,Control,Control,Agentive,Waiter at Italian pizza shop sets restaurant owner on fire after shouting match,24,Owner,,Waiter,,4,4,,,,,,,,,,,
121,Control,Control,Non-Agentive,Nurse choked after violent dispute with teacher at local daycare,20,Nurse,,Teacher,,3,3,,,,,,,,,,,
121,Control,Control,Agentive,Patient beats local doctor accused of fertility fraud during confrontation,7,Doctor,,Patient,,0,0,,,,,,,,,,,
121,Target,officers,Non-Agentive,Protesters shot during clash with officers outside Texas church service,27,Protesters,,Officers,,4,4,,,,,,,,,,,
121,Target,state trooper,Non-Agentive,Club bouncer killed during shootout with state trooper outside of popular bar,21,Club bouncer,,State trooper,,4,3,,,,,,,,,,,
121,Target,cops,Agentive,Cops shoot protesters during Friday confrontation; dash cam footage to be released early next week,28,Protesters,,Cops,,4,4,,,,,,,,,,,
121,Target,student,Non-Agentive,Campus security guard shot and killed in controversial incident with student,29,Security guard,,Student,,3,3,,,,,,,,,,,
121,Target,teen,Agentive,Video footage shows teen shooting a county sheriff after confrontation; sparks outrage,10,Sheriff,,Teen,,4,4,,3,3,Yes,Yes,Yes,Yes,Independent,25-34,White,Man
49,Control,Control,Non-Agentive,Chicago superintendent assaulted after car accident with nurse,25,Superintendent,,,The headline did not say'},2,2,,,,,,,,,,,
49,Target,teacher,Non-Agentive,Criminal probe focuses on school where cop was shot after fight with teacher,2,Cop,,Teacher,,3,3,,,,,,,,,,,
49,Target,sheriff,Non-Agentive,Video footage shows teen shot after confrontation with county sheriff; sparks outrage,30,Teen,,Sheriff,,1,1,,,,,,,,,,,
49,Control,Control,Non-Agentive,Indigenous community leader targeted in racist hate crime incident with vandal,15,Community leader,,Vandal,,0,0,,,,,,,,,,,
49,Target,officers,Agentive,Officers shoot protesters during clash outside Texas church service,31,Protesters,,Officers,,2,2,,,,,,,,,,,
49,Target,police chief,Agentive,Police chief kills fisherman in New Years Day shooting incident,32,Fisherman,,Police chief,,0,0,,,,,,,,,,,
49,Control,Control,Non-Agentive,Drunk driver beaten after Cobb County crash with father,11,Driver,,Father,,4,4,,,,,,,,,,,
49,Target,student,Agentive,Student shoots and kills campus security guard in controversial incident,33,Security guard,,Student,,3,3,,,,,,,,,,,
49,Target,man,Non-Agentive,Jacksonville police officer fatally shot during confrontation with man,18,Police officer,,Man,,4,4,,,,,,,,,,,
49,Target,cops,Non-Agentive,Protesters shot during Friday confrontation with cops; dash cam footage to be released early next week,19,Protesters,,Cops,,1,1,,,,,,,,,,,
49,Control,Control,Agentive,Waiter at Italian pizza shop sets restaurant owner on fire after shouting match,24,Owner,,Waiter,,4,4,,,,,,,,,,,
49,Control,Control,Agentive,Teacher chokes nurse after violent dispute at local daycare,14,Nurse,,Teacher,,3,3,,,,,,,,,,,
49,Control,Control,Agentive,Young mom stabs neighbor 17 times during road rage incident; community members express devastation,34,Neighbor,,Mom,,1,1,,,,,,,,,,,
49,Target,club bouncer,Agentive,Club bouncer kills state trooper during shootout outside of popular bar,35,State trooper,,Club bouncer,,3,3,,,,,,,,,,,
49,Control,Control,Non-Agentive,Wife stabbed 36 times after fight with cheating husband,36,Wife,,Husband,,0,0,,,,,,,,,,,
49,Control,Control,Agentive,Patient beats local doctor accused of fertility fraud during confrontation,7,Doctor,,Patient,,2,2,,2,4,Yes,Yes,Yes,Yes,Independent,25-34,White,Man
164,Control,Control,Non-Agentive,Restaurant owner of Italian pizza shop set on fire after shouting match with waiter,6,Owner,,Waiter,,4,4,,,,,,,,,,,
164,Target,police chief,Non-Agentive,Fisherman killed in New Years Day shooting incident with police chief,12,Fisherman,,Police chief,,2,2,,,,,,,,,,,
164,Control,Control,Agentive,Young mom stabs neighbor 17 times during road rage incident; community members express devastation,34,Neighbor,,Mom,,0,0,,,,,,,,,,,
164,Control,Control,Agentive,Father beats drunk driver after Cobb County crash,37,Driver,,Father,,3,2,,,,,,,,,,,
164,Target,man,Agentive,Jacksonville man fatally shoots police officer during confrontation,38,Police officer,,Man,,4,4,,,,,,,,,,,
164,Target,teen,Agentive,Video footage shows teen shooting a county sheriff after confrontation; sparks outrage,10,Sheriff,,Teen,,4,4,,,,,,,,,,,
164,Target,cop,Agentive,Criminal probe focuses on school where cop shot teacher after fight,39,Teacher,,Cop,,0,0,,,,,,,,,,,
164,Target,cops,Agentive,Cops shoot protesters during Friday confrontation; dash cam footage to be released early next week,28,Protesters,,Cops,,0,0,,,,,,,,,,,
164,Control,Control,Non-Agentive,Local doctor accused of fertility fraud beaten during confrontation with patient,40,Doctor,,Patient,,3,2,,,,,,,,,,,
164,Target,state trooper,Non-Agentive,Club bouncer killed during shootout with state trooper outside of popular bar,21,Club bouncer,,State trooper,,2,2,,,,,,,,,,,
164,Control,Control,Non-Agentive,Nurse choked after violent dispute with teacher at local daycare,20,Nurse,,Teacher,,4,4,,,,,,,,,,,
